City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Khatanga,71.9667,102.5,43.03,89,100,2.73,RU,overcast clouds
80,Port Lincoln,-34.7333,135.8667,49.35,67,39,11.74,AU,scattered clouds
81,Esperance,-33.8667,121.9,58.23,83,2,20.38,AU,clear sky
82,Ribeira Grande,38.5167,-28.7,73.8,78,40,16.11,PT,scattered clouds
83,Bredasdorp,-34.5322,20.0403,51.64,84,22,3.71,ZA,few clouds
84,East London,-33.0153,27.9116,60.13,68,1,13.53,ZA,clear sky
85,Rio Grande,-32.035,-52.0986,57.31,97,100,14.99,BR,moderate rain
86,Nelson Bay,-32.7167,152.15,51.01,87,61,11.99,AU,broken clouds
87,Dunga Bunga,29.7493,73.2432,84.81,72,78,12.06,PK,broken clouds
88,Lakheri,25.6667,76.1667,90.39,60,98,3.67,IN,overcast clouds
89,Tairua,-37.0167,175.85,50.99,87,100,8.08,NZ,light rain
90,Carnarvon,-24.8667,113.6333,66.69,81,42,10.83,AU,scattered clouds
91,Kudahuvadhoo,2.6708,72.8944,83.03,74,20,12.41,MV,few clouds
92,College,64.8569,-147.8028,65.21,44,0,5.75,US,clear sky
93,Mezhevoy,55.1711,58.7814,65.28,90,100,3.69,RU,overcast clouds
94,Ventanas,-1.45,-79.4667,88.07,52,61,2.93,EC,broken clouds
95,Tres Arroyos,-38.3739,-60.2798,52.47,56,90,9.55,AR,overcast clouds
96,Airai,-8.9266,125.4092,53.35,87,10,3.53,TL,clear sky
97,Norfolk,42.1668,-71.2495,88.34,63,75,3.44,US,broken clouds
98,Zhigansk,66.7697,123.3711,53.15,89,100,14.74,RU,overcast clouds
99,Fairfield,41.2668,-73.3162,86.05,61,79,5.79,US,broken clouds
100,Baturyn,51.3457,32.8779,59.31,89,1,6.55,UA,clear sky
101,Syracuse,37.0881,15.2792,81.99,66,49,7.18,IT,scattered clouds
102,Lebu,-37.6167,-73.65,44.02,84,100,5.61,CL,light rain
103,Lavrentiya,65.5833,-171.0,48.94,73,100,8.95,RU,overcast clouds
104,Half Moon Bay,37.4636,-122.4286,87.04,68,75,19.57,US,mist
105,Kieta,-6.2167,155.6333,77.09,82,100,5.7,PG,overcast clouds
106,Rio Gallegos,-51.6226,-69.2181,33.85,86,40,5.75,AR,scattered clouds
107,Beringovskiy,63.05,179.3167,46.67,98,100,10.47,RU,light rain
108,Port Macquarie,-31.4333,152.9167,49.89,78,89,11.77,AU,overcast clouds
109,Saskylakh,71.9167,114.0833,41.43,85,100,7.0,RU,overcast clouds
110,Cayenne,4.9333,-52.3333,82.09,1,0,2.3,GF,clear sky
111,Gorokhovets,56.1947,42.7003,60.01,98,100,9.31,RU,overcast clouds
112,Kourou,5.1552,-52.6478,82.11,83,63,8.39,GF,light rain
113,Puerto Ayora,-0.7393,-90.3518,76.96,89,68,8.99,EC,broken clouds
114,Grindavik,63.8424,-22.4338,52.27,71,75,6.91,IS,broken clouds
115,Cockburn Town,21.4612,-71.1419,85.96,62,40,13.8,TC,scattered clouds
116,Pangnirtung,66.1451,-65.7125,50.0,81,20,13.8,CA,few clouds
117,Poya,-21.35,165.15,64.71,67,13,7.52,NC,few clouds
118,Pakxan,18.3778,103.6601,76.21,95,99,1.95,LA,overcast clouds
119,Caningay,9.8297,122.6442,75.15,87,53,0.94,PH,moderate rain
120,Tabatinga,-4.2525,-69.9381,86.09,62,40,5.75,BR,scattered clouds
121,Alice Town,25.7167,-79.3,85.05,66,4,11.23,BS,clear sky
122,Hasaki,35.7333,140.8333,73.8,92,100,8.12,JP,light rain
123,Georgetown,5.4112,100.3354,80.53,92,20,0.0,MY,few clouds
124,Souillac,-20.5167,57.5167,70.18,73,75,11.5,MU,broken clouds
125,Qaanaaq,77.484,-69.3632,45.32,82,26,8.21,GL,scattered clouds
126,Port Elizabeth,-33.918,25.5701,57.49,78,0,13.8,ZA,clear sky
127,Catamarca,-28.4696,-65.7852,69.78,25,0,4.0,AR,clear sky
128,Ayagoz,47.9714,80.4392,59.07,54,0,3.04,KZ,clear sky
129,Shizunai,42.3339,142.3669,64.42,89,100,14.92,JP,overcast clouds
130,Escarcega,18.6089,-90.7454,97.84,29,94,9.73,MX,overcast clouds
131,Kangaatsiaq,68.3065,-53.4641,39.63,93,8,16.33,GL,clear sky
132,Vao,-22.6667,167.4833,71.64,54,57,25.12,NC,broken clouds
133,Manoel Urbano,-8.8389,-69.2597,84.92,62,100,2.42,BR,overcast clouds
134,Ilulissat,69.2167,-51.1,46.99,51,8,7.58,GL,clear sky
135,Kapiri Mposhi,-13.9652,28.6809,59.63,61,73,6.8,ZM,broken clouds
136,Mar Del Plata,-38.0023,-57.5575,54.09,95,100,13.0,AR,drizzle
137,Kenai,60.5544,-151.2583,60.03,90,100,3.44,US,overcast clouds
138,Zharkent,44.1628,80.0,70.32,40,0,5.01,KZ,clear sky
139,Cidreira,-30.1811,-50.2056,60.15,97,100,13.22,BR,heavy intensity rain
140,Sao Felix Do Xingu,-6.6447,-51.995,92.77,32,27,5.39,BR,scattered clouds
141,Kashi,39.4547,75.9797,70.81,46,98,8.95,CN,overcast clouds
142,Seoul,37.5683,126.9778,73.0,94,75,3.44,KR,broken clouds
143,Shenjiamen,29.9576,122.298,77.47,93,100,11.83,CN,overcast clouds
144,Avera,33.194,-82.5271,86.05,77,100,5.19,US,overcast clouds
145,Sept-Iles,50.2001,-66.3821,71.6,53,75,9.22,CA,broken clouds
146,Clearlake,38.9582,-122.6264,95.34,26,0,5.5,US,clear sky
147,Camacha,33.0833,-16.3333,69.22,78,40,10.36,PT,scattered clouds
148,Akyab,20.15,92.9,80.98,86,84,12.97,MM,broken clouds
149,Kavieng,-2.5744,150.7967,81.25,79,100,16.62,PG,light rain
150,Aksha,50.2814,113.2867,56.57,93,0,1.57,RU,clear sky
151,Tamiahua,21.2667,-97.45,87.3,61,99,15.75,MX,overcast clouds
152,Nhulunbuy,-12.2333,136.7667,70.41,73,40,8.05,AU,scattered clouds
153,Kutum,14.2,24.6667,76.39,60,95,4.99,SD,light rain
154,Namibe,-15.1961,12.1522,65.39,86,81,2.19,AO,broken clouds
155,Ahipara,-35.1667,173.1667,55.17,85,100,7.52,NZ,overcast clouds
156,Hilo,19.7297,-155.09,84.27,75,13,3.0,US,few clouds
157,South Lake Tahoe,38.9332,-119.9844,88.79,15,1,5.99,US,clear sky
158,Provideniya,64.3833,-173.3,53.64,57,100,6.35,RU,overcast clouds
159,Te Anau,-45.4167,167.7167,34.09,94,89,0.72,NZ,light snow
160,Buta,2.7858,24.73,69.98,98,100,1.99,CD,light rain
161,Cuamba,-14.8031,36.5372,68.16,57,74,6.11,MZ,broken clouds
162,Lovozero,68.005,35.0117,57.83,92,40,7.56,RU,scattered clouds
163,Jalu,29.0331,21.5482,81.3,38,0,17.98,LY,clear sky
164,Arroyo,41.6096,-4.7969,96.15,14,0,10.36,ES,clear sky
165,Nikolskoye,59.7035,30.7861,59.81,96,98,4.12,RU,overcast clouds
166,Douentza,14.9951,-2.9517,89.56,38,74,0.98,ML,broken clouds
167,Klaksvik,62.2266,-6.589,50.92,78,83,13.0,FO,broken clouds
168,Marquette,46.5333,-87.6335,73.78,51,0,4.92,US,clear sky
169,Guerrero Negro,27.9769,-114.0611,75.56,56,3,15.88,MX,clear sky
170,Laguna,38.421,-121.4238,96.64,39,0,5.75,US,clear sky
171,Lazaro Cardenas,17.9583,-102.2,88.59,58,96,8.52,MX,overcast clouds
172,Richards Bay,-28.783,32.0377,64.44,70,6,6.96,ZA,clear sky
173,Shitanjing,39.2342,106.3439,69.78,83,44,5.46,CN,scattered clouds
174,Constitucion,-35.3333,-72.4167,47.34,89,100,8.61,CL,moderate rain
175,Bengkulu,-3.8004,102.2655,76.77,89,100,4.29,ID,moderate rain
