City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Georgetown,MY,2022-07-14 15:45:10,5.4112,100.3354,82.89,90,20,0.0
59,Mar Del Plata,AR,2022-07-14 15:45:25,-38.0023,-57.5575,51.94,88,100,17.0
60,Cabo San Lucas,MX,2022-07-14 15:45:26,22.8909,-109.9124,91.71,45,20,4.61
61,Castro,BR,2022-07-14 15:45:26,-24.7911,-50.0119,70.43,55,94,13.51
62,Yaan,NG,2022-07-14 15:45:27,7.3833,8.5667,80.49,78,61,7.18
63,Sibolga,ID,2022-07-14 15:45:27,1.7427,98.7792,78.78,91,99,1.66
64,Kodiak,US,2022-07-14 15:45:30,57.79,-152.4072,54.91,88,100,3.44
65,Fare,PF,2022-07-14 15:45:31,-16.7,-151.0167,77.13,71,39,23.87
66,Truckee,US,2022-07-14 15:42:34,39.328,-120.1833,75.78,33,0,3.0
67,Mnogovershinnyy,RU,2022-07-14 15:45:31,53.9353,139.9242,56.88,91,96,1.95
68,Ushuaia,AR,2022-07-14 15:41:24,-54.8,-68.3,31.62,80,20,3.44
69,Mahebourg,MU,2022-07-14 15:45:31,-20.4081,57.7,70.25,73,75,11.5
70,Qui Nhon,VN,2022-07-14 15:45:32,13.7667,109.2333,80.64,87,97,5.77
71,Yulara,AU,2022-07-14 15:45:33,-25.2406,130.9889,46.6,42,4,9.48
72,Hami,CN,2022-07-14 15:45:33,42.8,93.45,83.1,19,43,13.24
73,Nanortalik,GL,2022-07-14 15:41:43,60.1432,-45.2371,48.56,77,100,11.54
74,Sharlyk,RU,2022-07-14 15:45:34,52.9167,54.75,75.09,65,93,3.98
75,Busselton,AU,2022-07-14 15:45:35,-33.65,115.3333,59.63,73,83,20.85
76,Rocha,UY,2022-07-14 15:44:27,-34.4833,-54.3333,61.23,78,68,12.66
77,Raudeberg,NO,2022-07-14 15:45:35,61.9875,5.1352,55.96,73,95,7.36
78,Kemijarvi,FI,2022-07-14 15:45:36,66.7131,27.4306,65.14,79,100,5.88
